UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6
University of California Davis,Santiago Canyon College,MAT 021C,MATH 185 (4.00),,,,,
University of California Davis,Santiago Canyon College,MAT 022A,MATH 287 (5.00),MATH 290 (3.00),,,,
University of California Davis,Santiago Canyon College,MAT 027A,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,MAT 067,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,BIS 002A,BIOL 211 (5.00),,,,,
University of California Davis,Santiago Canyon College,BIS 002B,BIOL 221 (5.00); BIOL 231 (5.00),,,,,
University of California Davis,Santiago Canyon College,BIS 002C,BIOL 221 (5.00); BIOL 231 (5.00),,,,,
University of California Davis,Santiago Canyon College,CHE 002A; CHE 002B; CHE 002C,CHEM 200A (5.00); CHEM 200B (5.00),CHEM 200AH (5.00); CHEM 200B (5.00),,,,
University of California Davis,Santiago Canyon College,CHE 004A,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,CHE 004B,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,CHE 004C,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,PHY 009A,PHYS 250A (5.00),,,,,
University of California Davis,Santiago Canyon College,PHY 009B,PHYS 250C (5.00),,,,,
University of California Davis,Santiago Canyon College,PHY 009C,PHYS 250B (5.00),,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CMPR 120 (3.00); CMPR 121 (3.00),,,,,
University of California Irvine,Santiago Canyon College,MATH 2A,MATH 150 (5.00); MATH 180 (4.00); MATH 180H (4.00); MATH 180S (4.50),,,,,
University of California Irvine,Santiago Canyon College,MATH 2B,MATH 185 (4.00),,,,,
University of California Irvine,Santiago Canyon College,MATH 3A,MATH 287 (5.00),MATH 290 (3.00),,,,
University of California Irvine,Santiago Canyon College,I&C SCI 6N,Not Articulated,,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 6B,CMPR 149 (3.00),,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 6D,CMPR 149 (3.00),,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 45C,CMPR 131 (3.00),,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 46,Not Articulated,,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 51,Not Articulated,,,,,
University of California Irvine,Santiago Canyon College,I&C SCI 53,Not Articulated,,,,,
University of California Irvine,Santiago Canyon College,IN4MATX 43,Not Articulated,,,,,
University of California Irvine,Santiago Canyon College,STATS 67,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,COM SCI 31,CMPR 120 (3.00),CMPR 121 (3.00),,,,
University of California Los Angeles,Santiago Canyon College,COM SCI 32,CMPR 131 (3.00),,,,,
University of California Los Angeles,Santiago Canyon College,COM SCI 33,CMPR 129 (4.00),CMPR 154 (3.00),,,,
University of California Los Angeles,Santiago Canyon College,COM SCI 35L,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,COM SCI M51A,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,EC ENGR M16,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,MATH 31A,MATH 180 (4.00),MATH 180H (4.00),MATH 180S (4.50),,,
University of California Los Angeles,Santiago Canyon College,MATH 31B,MATH 185 (4.00),,,,,
University of California Los Angeles,Santiago Canyon College,MATH 32A,MATH 280 (4.00),,,,,
University of California Los Angeles,Santiago Canyon College,MATH 32B,MATH 280 (4.00),,,,,
University of California Los Angeles,Santiago Canyon College,MATH 33A,MATH 287 (5.00),MATH 290 (3.00),,,,
