UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Davis,Evergreen Valley College,ECS 050,COMSC 077 (3.00),,,,
University of California Davis,Evergreen Valley College,MAT 021A,MATH 066 (4.00),MATH 071 (5.00),,,
University of California Davis,Evergreen Valley College,MAT 021B,MATH 067 (4.00),MATH 072 (5.00),,,
University of California Davis,Evergreen Valley College,MAT 021C; MAT 021D,MATH 073 (5.00),,,,
University of California Davis,Evergreen Valley College,MAT 022A,MATH 079 (3.00),,,,
University of California Davis,Evergreen Valley College,MAT 027A,Not Articulated,,,,
University of California Davis,Evergreen Valley College,MAT 067,Not Articulated,,,,
University of California Davis,Evergreen Valley College,BIS 002A; BIS 002B; BIS 002C,BIOL 004A (5.00); BIOL 004B (5.00),,,,
University of California Davis,Evergreen Valley College,CHE 002A; CHE 002B; CHE 002C,CHEM 001A (5.00); CHEM 001B (5.00),,,,
University of California Davis,Evergreen Valley College,CHE 004A,Not Articulated,,,,
University of California Davis,Evergreen Valley College,CHE 004B,Not Articulated,,,,
University of California Davis,Evergreen Valley College,CHE 004C,Not Articulated,,,,
University of California Davis,Evergreen Valley College,PHY 009A,PHYS 004A (5.00),PHYS 007A (4.00),,,
University of California Davis,Evergreen Valley College,PHY 009B,PHYS 004B (5.00); PHYS 004C (5.00),,,,
University of California Davis,Evergreen Valley College,PHY 009C,PHYS 004B (5.00); PHYS 004C (5.00),PHYS 007B (4.00),,,
University of California Davis,Evergreen Valley College,PHY 009A; PHY 009B; PHY 009C,PHYS 007A (4.00); PHYS 007B (4.00); PHYS 007C (4.00),,,,
University of California Irvine,Evergreen Valley College,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMSC 075 (3.00); COMSC 076 (3.00),,,,
University of California Irvine,Evergreen Valley College,MATH 2A,MATH 066 (4.00),MATH 071 (5.00),,,
University of California Irvine,Evergreen Valley College,MATH 2B,MATH 067 (4.00),MATH 072 (5.00),,,
University of California Irvine,Evergreen Valley College,MATH 3A,MATH 079 (3.00),,,,
University of California Irvine,Evergreen Valley College,I&C SCI 6N,Not Articulated,,,,
University of California Irvine,Evergreen Valley College,I&C SCI 6B,COMSC 080 (3.00),,,,
University of California Irvine,Evergreen Valley College,I&C SCI 6D,COMSC 080 (3.00),MATH 070 (4.00),,,
University of California Irvine,Evergreen Valley College,I&C SCI 45C,COMSC 041 (3.00); COMSC 042 (3.00),,,,
University of California Irvine,Evergreen Valley College,I&C SCI 46,Not Articulated,,,,
University of California Irvine,Evergreen Valley College,I&C SCI 51,COMSC 077 (3.00),,,,
University of California Irvine,Evergreen Valley College,I&C SCI 53,Not Articulated,,,,
University of California Irvine,Evergreen Valley College,IN4MATX 43,Not Articulated,,,,
University of California Irvine,Evergreen Valley College,STATS 67,Not Articulated,,,,
