UC Campus,CC,UC Course Requirement,Courses Group 1
University of California San Diego,West Hills College Lemoore,CSE 15L,Not Articulated
University of California San Diego,West Hills College Lemoore,CSE 20,Not Articulated
University of California San Diego,West Hills College Lemoore,CSE 21,Not Articulated
University of California San Diego,West Hills College Lemoore,CSE 30,Not Articulated
University of California San Diego,West Hills College Lemoore,MATH 18,MATH 003A (4.00)
University of California San Diego,West Hills College Lemoore,MATH 20A,MATH 001A (5.00)
University of California San Diego,West Hills College Lemoore,MATH 20B,MATH 001B (5.00)
University of California San Diego,West Hills College Lemoore,MATH 20C,MATH 002A (4.00)
University of California San Diego,West Hills College Lemoore,BILD 1,Not Articulated
University of California San Diego,West Hills College Lemoore,BILD 2,Not Articulated
University of California San Diego,West Hills College Lemoore,BILD 3,Not Articulated
University of California San Diego,West Hills College Lemoore,CHEM 6A,CHEM 001A (5.00)
University of California San Diego,West Hills College Lemoore,CHEM 6B,CHEM 001A (5.00); CHEM 001B (5.00)
University of California San Diego,West Hills College Lemoore,PHYS 2A,PHYSICS 004A (4.00)
University of California San Diego,West Hills College Lemoore,PHYS 2B,PHYSICS 004B (4.00)
University of California San Diego,West Hills College Lemoore,PHYS 4A,Not Articulated
University of California San Diego,West Hills College Lemoore,PHYS 4B,Not Articulated
University of California Santa Barbara,West Hills College Lemoore,MATH 3A,MATH 001A (5.00)
University of California Santa Barbara,West Hills College Lemoore,MATH 3B,MATH 001B (5.00)
University of California Santa Barbara,West Hills College Lemoore,MATH 4A,MATH 003A (4.00)
University of California Santa Barbara,West Hills College Lemoore,MATH 4B,MATH 002B (4.00)
University of California Santa Barbara,West Hills College Lemoore,CMPSC 16,ENGR 015 (3.00)
University of California Santa Barbara,West Hills College Lemoore,CMPSC 24,Not Articulated
University of California Santa Barbara,West Hills College Lemoore,CMPSC 40,Not Articulated
University of California Santa Barbara,West Hills College Lemoore,CMPSC 32,Not Articulated
University of California Santa Barbara,West Hills College Lemoore,CMPSC 64,Not Articulated
University of California Santa Barbara,West Hills College Lemoore,MATH 6A,MATH 002A (4.00)
University of California Santa Barbara,West Hills College Lemoore,PHYS 1,PHYSICS 004A (4.00)
University of California Santa Barbara,West Hills College Lemoore,PHYS 2,PHYSICS 004A (4.00); PHYSICS 004B (4.00); PHYSICS 004C (4.00)
University of California Santa Barbara,West Hills College Lemoore,PHYS 3; PHYS 3L,PHYSICS 004B (4.00)
University of California Santa Barbara,West Hills College Lemoore,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYSICS 002A (4.00); PHYSICS 002B (4.00)
University of California Santa Barbara,West Hills College Lemoore,PHYS 7A,PHYSICS 004A (4.00)
University of California Santa Barbara,West Hills College Lemoore,PHYS 7B,PHYSICS 004A (4.00); PHYSICS 004B (4.00)
University of California Santa Barbara,West Hills College Lemoore,PHYS 7C,PHYSICS 004B (4.00); PHYSICS 004C (4.00)
University of California Santa Barbara,West Hills College Lemoore,PHYS 7D,PHYSICS 004C (4.00)
University of California Santa Barbara,West Hills College Lemoore,PHYS 7L,PHYSICS 004A (4.00); PHYSICS 004B (4.00)
University of California Santa Barbara,West Hills College Lemoore,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 001A (5.00); CHEM 001B (5.00)
University of California Santa Barbara,West Hills College Lemoore,MCDB 1A; MCDB 1LL,Not Articulated
University of California Santa Barbara,West Hills College Lemoore,MCDB 1B,Not Articulated
University of California Santa Barbara,West Hills College Lemoore,PSTAT 120A,Not Articulated
University of California Santa Cruz,West Hills College Lemoore,CSE 12,Not Articulated
University of California Santa Cruz,West Hills College Lemoore,CSE 16,Not Articulated
University of California Santa Cruz,West Hills College Lemoore,CSE 30,Not Articulated
University of California Santa Cruz,West Hills College Lemoore,MATH 19A,MATH 001A (5.00)
University of California Santa Cruz,West Hills College Lemoore,MATH 19B,MATH 001B (5.00)
University of California Santa Cruz,West Hills College Lemoore,AM 10,MATH 003A (4.00)
University of California Santa Cruz,West Hills College Lemoore,MATH 21,MATH 003A (4.00)
University of California Santa Cruz,West Hills College Lemoore,AM 30,MATH 002A (4.00)
University of California Santa Cruz,West Hills College Lemoore,MATH 23A,MATH 002A (4.00)
