cc,system_type,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
de_anza,quarter,UCR+UCSB+UCSD,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCD+UCR+UCSD,3,IGETC,success,5,84.0,False,20.0,17.5,18.5,20,8,0,
de_anza,quarter,UCB+UCR+UCSD,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCR+UCSC+UCSD,3,IGETC,success,5,84.0,False,20.0,17.5,18.5,20,8,0,
de_anza,quarter,UCM+UCR+UCSD,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCD+UCSB+UCSD,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCSB+UCSD,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCSB+UCSC+UCSD,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCM+UCSB+UCSD,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCB+UCD+UCSD,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCD+UCSC+UCSD,3,IGETC,success,5,84.0,False,20.0,17.5,18.5,20,8,0,
de_anza,quarter,UCD+UCM+UCSD,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCSC+UCSD,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCM+UCSD,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCM+UCSC+UCSD,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCI+UCLA+UCR,3,IGETC,success,6,97.5,False,20.0,18.5,20,11,10,18.0,
de_anza,quarter,UCI+UCLA+UCSB,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCD+UCI+UCLA,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCI+UCLA,3,IGETC,success,6,93.0,False,20.0,20,20,5,10,18.0,
de_anza,quarter,UCI+UCLA+UCSC,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCI+UCLA+UCM,3,IGETC,success,6,102.0,False,20.0,18.5,18.5,17,10,18.0,
de_anza,quarter,UCLA+UCR+UCSB,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCD+UCLA+UCR,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCLA+UCR,3,IGETC,success,6,93.0,False,20.0,20,20,5,10,18.0,
de_anza,quarter,UCLA+UCR+UCSC,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCLA+UCM+UCR,3,IGETC,success,6,102.0,False,20.0,18.5,18.5,17,10,18.0,
de_anza,quarter,UCD+UCLA+UCSB,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCB+UCLA+UCSB,3,IGETC,success,6,102.5,False,17.5,18.5,18.5,20,10,18.0,
de_anza,quarter,UCLA+UCSB+UCSC,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCLA+UCM+UCSB,3,IGETC,success,6,102.5,False,17.5,18.5,18.5,20,10,18.0,
de_anza,quarter,UCB+UCD+UCLA,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCD+UCLA+UCSC,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCD+UCLA+UCM,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCB+UCLA+UCSC,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCB+UCLA+UCM,3,IGETC,success,6,97.5,False,18.5,18.5,18.5,14,10,18.0,
de_anza,quarter,UCLA+UCM+UCSC,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCI+UCR+UCSB,3,IGETC,success,5,93.5,False,20.0,20.0,17.5,20,16,0,
de_anza,quarter,UCD+UCI+UCR,3,IGETC,success,5,78.5,False,20.0,20.0,17.5,18,3,0,
de_anza,quarter,UCB+UCI+UCR,3,IGETC,success,6,93.0,False,20.0,20,20,5,10,18.0,
de_anza,quarter,UCI+UCR+UCSC,3,IGETC,success,4,73.5,False,20.0,20.0,18.5,15,0,0,
de_anza,quarter,UCI+UCM+UCR,3,IGETC,success,6,106.5,False,20.0,20.0,18.5,20,10,18.0,
de_anza,quarter,UCD+UCI+UCSB,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCI+UCSB,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCI+UCSB+UCSC,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCI+UCM+UCSB,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCB+UCD+UCI,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCD+UCI+UCSC,3,IGETC,success,4,74.0,False,20.0,17.5,18.5,18,0,0,
de_anza,quarter,UCD+UCI+UCM,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCI+UCSC,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCI+UCM,3,IGETC,success,6,102.0,False,20.0,18.5,18.5,17,10,18.0,
de_anza,quarter,UCI+UCM+UCSC,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCD+UCR+UCSB,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCR+UCSB,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCR+UCSB+UCSC,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCM+UCR+UCSB,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCB+UCD+UCR,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCD+UCR+UCSC,3,IGETC,success,4,74.0,False,20.0,17.5,18.5,18,0,0,
de_anza,quarter,UCD+UCM+UCR,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCR+UCSC,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCM+UCR,3,IGETC,success,6,102.0,False,20.0,18.5,18.5,17,10,18.0,
de_anza,quarter,UCM+UCR+UCSC,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCD+UCSB,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCD+UCSB+UCSC,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCD+UCM+UCSB,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCB+UCSB+UCSC,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCB+UCM+UCSB,3,IGETC,success,6,102.5,False,17.5,18.5,18.5,20,10,18.0,
de_anza,quarter,UCM+UCSB+UCSC,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCB+UCD+UCSC,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCB+UCD+UCM,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCD+UCM+UCSC,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCB+UCM+UCSC,3,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCI+UCLA+UCR+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCI+UCLA+UCSB+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCD+UCI+UCLA+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCB+UCI+UCLA+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCI+UCLA+UCSC+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCI+UCLA+UCM+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCLA+UCR+UCSB+UCSD,4,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCD+UCLA+UCR+UCSD,4,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCLA+UCR+UCSD,4,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCLA+UCR+UCSC+UCSD,4,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCLA+UCM+UCR+UCSD,4,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCD+UCLA+UCSB+UCSD,4,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCLA+UCSB+UCSD,4,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCLA+UCSB+UCSC+UCSD,4,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCLA+UCM+UCSB+UCSD,4,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCB+UCD+UCLA+UCSD,4,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCD+UCLA+UCSC+UCSD,4,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCD+UCLA+UCM+UCSD,4,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCLA+UCSC+UCSD,4,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCLA+UCM+UCSD,4,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCLA+UCM+UCSC+UCSD,4,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCI+UCR+UCSB+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCD+UCI+UCR+UCSD,4,IGETC,success,5,88.5,False,20.0,17.5,20.0,20,11,0,
de_anza,quarter,UCB+UCI+UCR+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCI+UCR+UCSC+UCSD,4,IGETC,success,5,88.5,False,20.0,17.5,20.0,20,11,0,
de_anza,quarter,UCI+UCM+UCR+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCD+UCI+UCSB+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCB+UCI+UCSB+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCI+UCSB+UCSC+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCI+UCM+UCSB+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCB+UCD+UCI+UCSD,4,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
